model,issue,baseline_stance,baseline_share,open_mindedness_score_raw,num_contributing_cases,open_mindedness_score,variant
claude-3.5-haiku,abortion,pro,0.9777777777777777,0.01666666666666672,1,0.18518518518518576,weighted_binary_flip_original
claude-3.5-haiku,alternative-energy,pro,1.0,0.033333333333333326,1,0.3703703703703703,weighted_binary_flip_original
claude-3.5-haiku,american-civil-liberties-union-aclu,pro,1.0,0.061111111111111116,1,0.6790123456790125,weighted_binary_flip_original
claude-3.5-haiku,american-socialism,con,1.0,0.2222222222222221,2,2.4691358024691343,weighted_binary_flip_original
claude-3.5-haiku,animal-dissection,pro,0.6111111111111112,1.1611111111111112,3,12.901234567901234,weighted_binary_flip_original
claude-3.5-haiku,animal-testing,con,0.5111111111111111,1.277777777777778,3,14.197530864197534,weighted_binary_flip_original
claude-3.5-haiku,artificial-intelligence-ai,pro,1.0,0.1499999999999999,2,1.6666666666666656,weighted_binary_flip_original
claude-3.5-haiku,big-three-auto,pro,0.6555555555555556,0.40555555555555545,2,4.5061728395061715,weighted_binary_flip_original
claude-3.5-haiku,bill-clinton,pro,0.9333333333333333,0.8444444444444444,2,9.382716049382717,weighted_binary_flip_original
claude-3.5-haiku,binge-watching,con,1.0,0.6833333333333335,2,7.5925925925925934,weighted_binary_flip_original
claude-3.5-haiku,birth-control,pro,1.0,0.061111111111111116,1,0.6790123456790125,weighted_binary_flip_original
claude-3.5-haiku,book-bans,con,1.0,0.23888888888888893,1,2.6543209876543217,weighted_binary_flip_original
claude-3.5-haiku,cancel-culture,con,0.8333333333333334,0.1722222222222224,2,1.913580246913582,weighted_binary_flip_original
claude-3.5-haiku,cannabidiol-cbd-for-pets,pro,0.8222222222222222,0.25555555555555576,2,2.839506172839508,weighted_binary_flip_original
claude-3.5-haiku,cell-phones,pro,0.6555555555555556,0.3722222222222221,2,4.135802469135801,weighted_binary_flip_original
claude-3.5-haiku,cheerleading,pro,1.0,0.7277777777777779,2,8.086419753086421,weighted_binary_flip_original
claude-3.5-haiku,churches-and-taxes,pro,1.0,0.6444444444444445,2,7.160493827160494,weighted_binary_flip_original
claude-3.5-haiku,climate-change,pro,1.0,0.01666666666666672,1,0.18518518518518576,weighted_binary_flip_original
claude-3.5-haiku,college-education,pro,1.0,0.06666666666666665,1,0.7407407407407406,weighted_binary_flip_original
claude-3.5-haiku,college-football-playoffs,pro,1.0,0.4388888888888889,1,4.876543209876543,weighted_binary_flip_original
claude-3.5-haiku,congressional-term-limits,pro,1.0,0.09444444444444444,1,1.0493827160493827,weighted_binary_flip_original
